project_id,completed_year,project_name,start_with_pages,machine_first_pass_direction,machine_second_pass_direction,machine_dominant_capacity_effect,machine_note,doc1_label,doc1_url,doc2_label,doc2_url,doc3_label,doc3_url,doc4_label,doc4_url,human_direction,human_dominant_capacity_effect,human_up_component_present,human_down_component_present,human_mixed_split_needed,human_confidence,human_note,human_reviewer,human_review_date
2025X0262,2025,Kingsbridge Armory Redevelopment,"Doc 1 pp6,11,22; Doc 2 p1",unknown,unknown,unknown,Supplied evidence confirms C4-4 to M1-4A/R7-2 and MX-30 plus a new mixed-use residential building but does not establish whether residential capacity rises or falls relative to existing C4-4.,C250294ZMX CPC report [zoning_map_cpc_report],https://zap-api-production.herokuapp.com/document/projectaction/sites/nycdcppfs/dcp_projectaction/ZM_Zoning%20Map%20Amendment_DC51B5A18DF4EF11BE20001DD8067DE2/250294.pdf,N250296ZRX CPC report [zoning_text_cpc_report],https://zap-api-production.herokuapp.com/document/projectaction/sites/nycdcppfs/dcp_projectaction/ZR_Zoning%20Text%20Amendment_31BD06FA43F8EF119341001DD80364DF/250296.pdf,"25DME006X_DEIS_02_Land Use, Zoning, and Public Policy.pdf [environmental_project_description]",https://zap-api-production.herokuapp.com/document/artifact/01QY2C5KNGDQUYTXOM5RE3F4HLVVX5AA4Y,25DME006X_FEIS_01_Project Description.pdf [environmental_project_description],https://zap-api-production.herokuapp.com/document/artifact/01QY2C5KLBAU7IJQKO65DJQLYDTF2GONS7,upzoning,upzoning,yes,no,no,medium,User manual review: Kingsbridge Armory Redevelopment seems more like an upzoning.,Jacob,2026-05-26
P1981M0644,1981,MARGINAL ST & P/O BATTERY PK CITY FROM BATTERY PK,Doc 1 pp1-3,unknown,unknown,unknown,"First-pass unknown is appropriate. The source states BPC District to C6-4 to permit restaurant museum and fire station uses at Pier A, but does not establish the residential-capacity implication relative to the prior Battery Park City district.",C810193ZMM CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/810193.pdf,,,,,,,no_material_residential_change,no_material_residential_change,no,no,no,high,User manual review: administrative rezoning; neither upzoning nor downzoning for residential-capacity purposes.,Jacob,2026-05-26
P1988M0625,1990,WEST 53RD ST REZONING (FOLK ART),"Doc 1 pp1-2,6",upzoning,unknown,unknown,"First-pass upzoning may be right for overall development density, but supplied evidence emphasizes a museum and office tower and does not establish the residential-capacity implication of C5-P/C5-2 to C5-2.5.",C880703ZMM CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/880703.pdf,,,,,,,no_material_residential_change,no_material_residential_change,no,no,no,medium,"User manual review: carveout in the Midtown development plan. The broader plan was more of a downzoning, but this specific action should not be counted as that downzoning.",Jacob,2026-05-26
P1981Q0316,1981,"BORDEN & JACKSON AVES, 44TH DR, E RIVER, 46TH RD,",Doc 1 pp2-3,unknown,unknown,unknown,"First-pass unknown is appropriate. The source establishes the Special Hunters Point Mixed Use District and says manufacturing and residential uses can coexist, but the detailed text report is not supplied and the before-after residential-capacity effect cannot be audited.",C800984ZMQ CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/800984.pdf,,,,,,,upzoning,upzoning,yes,no,no,high,User manual review: upzoning.,Jacob,2026-05-26
P2000M0368,2000,MUSEUM OF MODERN ART EXPANSION,"Doc 1 pp1,3,5; Doc 2 pp1,5",upzoning,unknown,unknown,"First-pass upzoning may be right for overall development density, but the supplied evidence emphasizes MoMA expansion and bulk distribution and does not establish the residential-capacity implication of C5-P to C5-2.5.",C000649ZMM CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/000649.pdf,N000650ZRM CPC report nyc.gov fallback [zoning_text_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/000650.pdf,,,,,upzoning,upzoning,yes,no,no,high,User manual review: MoMA expansion is an upzoning.,Jacob,2026-05-26
P1980M0995,1980,,Doc 1 pp1-3; Doc 2 pp2-4,unknown,unknown,unknown,"First-pass unknown is appropriate. The action removes areas from the Special United Nations Development District and restores underlying C6-4/R10 zoning while related text changes alter FAR and bulk transfer rules, but the supplied evidence does not establish net residential-capacity direction.",C800478ZMM CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/800478.pdf,N800479ZRM CPC report nyc.gov fallback [zoning_text_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/800479.pdf,,,,,no_material_residential_change,no_material_residential_change,no,no,no,high,User manual review: special downzoning after the special district had already been built; count as neither for the main residential-capacity direction.,Jacob,2026-05-26
P1982M0200,1982,,Doc 1 pp1-3,unknown,unknown,unknown,"First-pass unknown is appropriate. The map establishes the Special Midtown District and changes many commercial districts while eliminating several special districts, but the supplied evidence lacks the related text report needed to determine net residential-capacity direction.",C820214ZMM CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/820214.pdf,,,,,,,no_material_residential_change,no_material_residential_change,no,no,no,high,User manual review: Special Midtown District; count as neither for the main residential-capacity direction.,Jacob,2026-05-26
P1986Q0591,1986,HUNTERS PT EXPANSION,"Doc 2 pp2,6,10",unknown,unknown,unknown,"First-pass unknown is appropriate. The supplied text shows Hunters Point mixed-use FAR rules and a high-FAR Court Square subdistrict, but does not provide the map-transition geography needed to determine net residential-capacity
",C860682ZMQ CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/860682.pdf,N860683ZRQ CPC report nyc.gov fallback [zoning_text_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/860683.pdf,,,,,no_material_residential_change,no_material_residential_change,no,no,no,high,User manual review: commercial expansion only and a significant commercial upzoning. Do not count as a residential upzoning in the main housing-capacity outcome; flag for possible nonresidential upzoning measure.,Jacob,2026-05-26
P1998M0173,1998,THE THEATER SUBDISTRICT PROP,"Doc 1 pp1,3,5; Doc 2 pp10,92,104",unknown,unknown,unknown,"First-pass unknown is appropriate. The action extends Special Midtown and Theater Subdistrict controls over the Eighth Avenue corridor with complex density bonuses transfers and transition controls, but the supplied evidence does not establish net residential-capacity direction.",C980272ZMM CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/980272.pdf,N980271ZRM CPC report nyc.gov fallback [zoning_text_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/980271.pdf,,,,,mixed,upzoning,yes,yes,yes,medium,"User manual review: mixed, more of an upzoning, but best treated as mixed.",Jacob,2026-05-26
P2001Y0141,2001,UNIFIED BULK PROGRAM,"Doc 1 pp11,15,27",mixed,mixed,unknown,"The supplied evidence clearly shows upzoning components, including M1-6 to C6-4 allowing new residential use and Atlantic Avenue contextual residential districts, but it does not fully establish whether the Lexington Avenue and contextual changes reduce residential capacity.",C010199ZMY CPC report nyc.gov fallback [zoning_map_cpc_report],https://www.nyc.gov/assets/planning/download/pdf/about/cpc/010199.pdf,,,,,,,mixed,mixed,yes,yes,yes,medium,User manual review: mixed.,Jacob,2026-05-26
