query_year,vote_date,matter_file,signature_review_id,accepted_council_districts,repair_source,repair_confidence,repair_promotion_decision,repair_evidence_type,repair_note,signature_matter_files,application_keys,zap_project_ids,zap_project_names,title_examples,matter_urls,history_detail_urls
1998,1998-01-07,Res 0002-1998,clu_geo_071,9,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_current_boundary_only,"Official Council Legistar text identifies ULURP C 970260 PPM / Res 0002-1998 as disposition of two city-owned Manhattan properties at 4 Hancock Place, Block 1950 Lot 55, and 350 West 124th Street, Block 1950 Lot 57; the adopted resolution approved the CPC d...",Res 0002-1998,970260PPM,P1997M0187,C-O-P,"Resolution approving with a modification the decision of the City Planning Commission on ULURP No. C 970260 PPM, for the disposition of two (2) city-owned properties located at 4 Hancock Place (Block 1950/Lot 55) and 350 West 124th Street (Block 1950/Lot 57), Manhattan (L.U. No. 1505).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=430189&GUID=219A007B-7680-4C51-A9C3-C65C7F1D0189&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2253092&GUID=3D84004D-A5F3-46F8-A1E0-4FAA8EF64FF8
1998,1998-03-18,M 0160-1998,clu_geo_072,8; 9,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,explicit_official_district,"Official Council call-up M 0160-1998 identifies Application 980112 PPM for City Owned Properties, Manhattan. The prior official-source check reports that the related official LU record for the same application explicitly supports Manhattan Community Board 1...",M 0160-1998,980112PPM,P1998M0071,C-O-P,"Pursuant to Rule ll.20b of the Council and Section 20-226(g) of the New York City Administrative Code, the Council resolves that the action of the City Planning Commission on Uniform Land Use Review Procedure Application Number 980112 PPM shall be subject to review by the Council.",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=430843&GUID=749CFA0B-69FA-436F-AE4E-B5F6787CFD3C&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2237277&GUID=E38C301F-8F6E-4AB3-9B24-EB87AFE3FFD8
1998,1998-03-18,Res 0164-1998,clu_geo_081,3,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Legistar resolution identifies a sidewalk cafe at 399 West 12th Street, Manhattan. District 3 is retained as address-based geography coding.",Res 0164-1998,360097TCM,NA,NA,"Resolution approving a motion to file pursuant to the withdrawal of the petition for a revocable consent for an unenclosed sidewalk cafe located at 399 West 12th Street, Manhattan (360097 TCM; L.U. No. 68).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=430857&GUID=A0A4A676-EEDE-45BC-B27A-32C506F0A003&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2237292&GUID=C14FB1ED-BEF4-4D07-A90A-7A95F10C4238
1998,1998-05-21,Res 0282-1998,clu_geo_073,51,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,Official Legistar resolution identifies a Special South Richmond Development District designated-open-space boundary amendment in the Marcy Avenue area of Staten Island. District 51 is retained as project-geography coding.,Res 0282-1998,970082ZRR,P1997R0054,MARCY AVE DOS REMOVAL,"Resolution approving the decision of the City Planning Commission on Application No. N 970082 ZRR, an amendment of Appendix A, Section 107-06 of the Zoning Resolution concerning the boundaries of the designated open space in the Special South Richmond Development District (L.U. No. 128).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=431294&GUID=A2BBF4C3-5491-452C-990E-22AA640A1646&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2238710&GUID=480F07CA-6C78-42D9-BD02-C6E1299EC047
1998,1998-05-21,Res 0283-1998,clu_geo_074,3,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official NYC Council/HPD UDAAP resolution identifies a single Manhattan disposition area: 105 West 17 Street, Block 793/Lot 32, application 372098HAM. The Council district is not explicitly stated in the official text; District 3 is accepted as an externall...",Res 0283-1998,372098HAM,NA,NA,"Resolution approving an Urban Development Action Area Project located at 105 West 17 Street (Block 793/Lot 32), Manhattan, and waiving the urban development action area designation requirement and the Uniform Land Use Review Procedure, pursuant to Sections 693 and 694 of the General Municipal Law (L.U. No. 131; 372098 HAM).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=431295&GUID=1C61DF38-1F5C-4655-9648-0963BAF1F876&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2238711&GUID=CFE601B6-B875-4DAB-A080-E5670C8E620D
1998,1998-06-04,Res 0318-1998,clu_geo_075,33,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Council Resolution 0318-1998 identifies ULURP C 970339 PQK / L.U. No. 114 as an acquisition of privately owned property at 314 Rutledge Street, Brooklyn, Block 2228 Lot 16, for continued use as a garage. District 33 is accepted as external coding f...",Res 0318-1998,970339PQK,P1997K0255,BKLYN NORTH GARAGE 3A,"Resolution approving the decision of the City Planning Commission on ULURP No. C 970339 PQK (L.U. No. 114), an acquisition of privately-owned property located at 314 Rutledge Street, Brooklyn, for continued use as a garage.",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=431455&GUID=C4596694-7DC2-4AD9-93C3-A7337E57CD7E&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2239293&GUID=B083AA1E-1FA2-433A-BA5D-A6E6EBB44906
1998,1998-06-05,Res 0322-1998,clu_geo_076,9,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Council Resolution 0322-1998 identifies the Lafayette Theater UDAAP disposition area by Manhattan blocks and lots: Blocks 1729, 1914, 1916, 1917, and 1918 with listed lots. The deterministic text-BBL/block-lot pass places the matched official geogr...",Res 0322-1998,159098HAM,NA,NA,"Resolution approving an Urban Development Action Area Project for the Lafayette Theater located at (Block 1729/Lots 62, 64 and 163; Block 1914/Lots 6, 7, 8, 11, 12, 16, 115 and 42; Block 1916/Lots 45, 46, 146, 49 and 149; Block 1917/Lots 20 and 119; and Block 1918/Lots 56, 57, 58, 59 and 157), Manhattan, and waiving the urban development action area designation requirement and the Uniform Land Use Review Procedure, pursuant to Sections 693 and 694 of the General Municipal Law (L.U. No. 35; 159098 HAM).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=431459&GUID=5D9E9D41-B3BE-4459-89E9-AC666B570930&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2239297&GUID=D84A0A00-5AC8-459C-B857-C49181E86B3D
1998,1998-06-24,Res 0346-1998,clu_geo_077,39,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Council Resolution 0346-1998 identifies the Brooklyn UDAAP properties as 9 Fourth Street (Block 464 Lot 65), 15 Prospect Place (Block 935 Lot 71), 232 Fifth Avenue (Block 958 Lot 42), and 320 Fifth Avenue (Block 974 Lot 42), Brooklyn. The determini...",Res 0346-1998,349098HAK,NA,NA,"Resolution approving an Urban Development Action Area Project located at 9 Fourth Street (Block 464/Lot 65), 15 Prospect Place (Block 935/Lot 71), 232 Fifth Avenue (Block 958/Lot 42) and 320 Fifth Avenue (Block 974/Lot 42), Brooklyn, and waiving the urban development action area designation requirement and the Uniform Land Use Review Procedure, pursuant to Sections 693 and 694 of the General Municipal Law (L.U. No. 122; 349098 HAK).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=431517&GUID=410C107A-E60F-45C4-9BC7-3C293771835F&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2239498&GUID=D2349C37-7C98-4A96-8939-6412770E3FA3
1998,1998-09-17,Res 0486-1998,clu_geo_078,6,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Legistar resolution identifies a sidewalk cafe at 154 West 70th Street, Manhattan. District 6 is retained as address-based geography coding.",Res 0486-1998,19985290TCM,NA,NA,"Resolution approving the petition for a revocable consent for an unenclosed sidewalk cafe located at 154 West 70th Street, Manhattan (19985290 TCM; L.U. No. 239).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=431868&GUID=D54DCCBC-CC41-492D-9F13-B689B7E63753&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2240740&GUID=7B8964A4-2C47-4D13-A3F9-3559F58EB451
1998,1998-09-24,M 0362-1998,clu_geo_003,1,manual_queue_ai_review_researcher_accepted,high,promote,explicit_official_district,Prior official-source check reports that the related official Legistar LU record for Application 19985310 TCM explicitly supports Manhattan and Council District 1 for the 361 Greenwich Street sidewalk cafe.,M 0362-1998,19985310TCM,NA,NA,"By Council Member Freed: Pursuant to Rule 11.20b of the Council and Section 20-220(g) of the New York City Administrative Code, the Council resolves that the action of the Department of Transportation approving an unenclosed sidewalk cafe located at 361 Greenwich Street shall be subject to review by the Council. Application Number 19985310 TCM",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=431911&GUID=407441AC-10AC-41F2-B117-1771F73B6DE3&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2240904&GUID=B479DBE9-CA42-4C75-B96F-487120940AB2
1998,1998-10-08,M 0370-1998,clu_geo_079,47,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Council call-up M 0370-1998 identifies ULURP C 980494 PQK / 2012 Neptune Avenue, Brooklyn. The queue's official ZAP project and BBL evidence ties C980494PQK/P1998K0262 to Brooklyn Block 7018 Lots 1 and 7, and the deterministic pass places those lot...",M 0370-1998,980494PQK,P1998K0262,DOS CD 13 GARAGE,"By Council Member Lasher: Pursuant to Rule 11.20b of the Council and Section 197-d(b)(3) of the New York City Charter, the Council resolves that the action of the City Planning Commission on Uniform Land Use Review Procedure Application Number 980494PQK shall be subject to review by the Council.",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=431925&GUID=CC902C58-3653-4779-AA44-F89E8C118564&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2240956&GUID=9B2F51EF-166D-41B7-9F12-F5BA92D1D6BD
1998,1998-10-22,Res 0505-1998,clu_geo_070,1,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Council/LPC landmark resolutions identify the two Manhattan landmark sites as 480 Greenwich Street aka 502 Canal Street, Block 595 Lot 40, and 508 Canal Street, Block 595 Lot 37. The district assignment is externally coded from exact project geogra...",Res 0505-1998; Res 0508-1998,19995003HKM; 990010HKM; 19995006HKM; 990013HKM,P1999M0007; P1999M0010,480 GREENWICH/502 CANAL ST HSE; 508 CANAL ST HOUSE,"Resolution approving the designation by the Landmarks Preservation Commission of 480 Greenwich Street/502 Canal Street House (John Y. Smith House), located at 480 Greenwich Street, aka 502 Canal Street, Manhattan, Designation List No. 295, LP-1989 (L.U. No. 221; 19995003 HKM; N 990010 HKM).; Resolution approving the designation by the Landmarks Preservation Commission of 508 Canal Street House, located at 508 Canal Street, Manhattan, Designation List No. 295, LP-1992 (L.U. No. 224; 19995006 HKM; N 990013 HKM).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=432032&GUID=229E2B65-4622-44E1-9BC0-85C9CB835E59&Options=ID|Text|&Search=; https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=432034&GUID=61206EFF-34AF-4702-A279-0A699E1CB2AF&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2241392&GUID=A20B1F93-0E16-4A29-838E-EEDDCB363511; https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2241394&GUID=77581782-AF3C-430E-BA3E-2B09D3E7E221
1998,1998-10-22,Res 0508-1998,clu_geo_070,1,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Council/LPC landmark resolutions identify the two Manhattan landmark sites as 480 Greenwich Street aka 502 Canal Street, Block 595 Lot 40, and 508 Canal Street, Block 595 Lot 37. The district assignment is externally coded from exact project geogra...",Res 0505-1998; Res 0508-1998,19995003HKM; 990010HKM; 19995006HKM; 990013HKM,P1999M0007; P1999M0010,480 GREENWICH/502 CANAL ST HSE; 508 CANAL ST HOUSE,"Resolution approving the designation by the Landmarks Preservation Commission of 480 Greenwich Street/502 Canal Street House (John Y. Smith House), located at 480 Greenwich Street, aka 502 Canal Street, Manhattan, Designation List No. 295, LP-1989 (L.U. No. 221; 19995003 HKM; N 990010 HKM).; Resolution approving the designation by the Landmarks Preservation Commission of 508 Canal Street House, located at 508 Canal Street, Manhattan, Designation List No. 295, LP-1992 (L.U. No. 224; 19995006 HKM; N 990013 HKM).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=432032&GUID=229E2B65-4622-44E1-9BC0-85C9CB835E59&Options=ID|Text|&Search=; https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=432034&GUID=61206EFF-34AF-4702-A279-0A699E1CB2AF&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2241392&GUID=A20B1F93-0E16-4A29-838E-EEDDCB363511; https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2241394&GUID=77581782-AF3C-430E-BA3E-2B09D3E7E221
1998,1998-12-17,M 0450-1998,clu_geo_080,1,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Council call-up M 0450-1998 identifies ULURP 980576 ZSM, and the queue's ZAP/MapPLUTO linkage ties the project to 45 Greene Street / BBL 1004757506. The deterministic pass places that exact site in Council District 1. No official source in this pas...",M 0450-1998,980576ZSM,P1998M0308,45 GREENE STREET,"By Council Member Freed: Pursuant to Rule 11.20(b) of the Council and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Uniform Land Use Procedure Application Number 980576 ZSM shall be subject to review by the Council.",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=432151&GUID=B2E719E5-583D-4FF8-AAF9-B3636AAA42CD&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2242013&GUID=4906EFBC-103E-44D4-AE39-1771FEE1852F
1999,1999-02-10,Res 0617-1999,clu_geo_087,33,remaining_queue_ai_review_researcher_adjudicated,medium,promote_with_caveat,official_geography_external_boundary,Official Council/DCP geography identifies ULURP C 990092 ZMK as a Brooklyn Community District 1 zoning map amendment on Zoning Map Section 12d. The bounded rezoning areas are: (1) property bounded by a line midway between South 10th Street and South 11th St...,Res 0617-1999,990092ZMK,P1999K0085,KENT AVE REZONING/PARK PLAZA,"Resolution approving the decision of the City Planning Commission on ULURP No. C 990092 ZMK, a Zoning Map Change (L.U. No. 258).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=432328&GUID=7380BCE3-AF04-48AF-9E4A-77395F1F3111&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2242615&GUID=3BF665E7-A9ED-498A-883B-74EF9522E990
1999,1999-03-16,M 0522-1999,clu_geo_088,32,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,Official Legistar material identifies Lindenwood Commons and related elimination/discontinuance/closing of portions of 79th Street and Dumont Avenue in Queens. District 32 is retained as project-geography coding.,M 0522-1999,910331MMQ; 910332ZMQ,P1991Q0294,LINDENWOOD COMMONS,"Pursuant to Rule 11.20(c) of th Council and Section 197-d(b)(3) of the New York City Charter, the Council hereby resolves that the action of the City Planning Commission on Uniform Land Use Procedure Application Number 910331 MMQ, the proposed elimination, discontinuing and closing of a portion of 79th Street and a portion of Dumont Avenue shall be subject to Council review. This applicatin is related to application number 910332 ZMQ which is subject to Council review pursuant to Section 197-d of the New York City Charter.",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=432428&GUID=4E37D5EB-BD49-4D2A-B474-8E36055EAD38&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2243057&GUID=0C916B7E-D745-4F93-925A-6003A4D8B0C5
1999,1999-03-30,Res 0708-1999,clu_geo_089,33,manual_queue_ai_review_researcher_accepted,medium,promote_with_caveat,official_geography_external_boundary,"Official Council Resolution 0708-1999 identifies Application N 990001 ZRK as a zoning text amendment specifying Special Mixed Use District MX-2 in Fulton Ferry, Brooklyn, related to zoning map amendment C 980584 ZMK. Official ZAP BBLs for the related projec...",Res 0708-1999,990001ZRK,P1999K0001,WASHINGTON ST TEXT,"Resolution approving the decision of the City Planning Commission on Application No. N 990001 ZRK, an amendment to the text of the Zoning Resolution regarding Article XII, Chapter 3 (Special Mixed Use District) specifying a Special Mixed Use District (MX-2) in Fulton Ferry (L.U. No. 287).",https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=432515&GUID=EEB7F329-B84E-4C0D-9715-8CFC8DBDD0B7&Options=ID|Text|&Search=,https://legistar.council.nyc.gov/HistoryDetail.aspx?ID=2243301&GUID=986D2324-FD43-4A8B-BFB4-6DB61BAA1798
