raw_application_number,canonical_application_number,include_in_corpus,resolved_pdf_url,correction_type,correction_reason,corpus_role,source_usable,canonical_vote_date,validation_coder,validation_date
C 080507 PCY,C 080507 PPY,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/080507.pdf,identifier_and_link_correction,The raw DCP index says PCY and links 080533.pdf; ZAP and the printed 080507.pdf header identify C 080507 PPY.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 770265 PPR,C 770265 PPR,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/770266.pdf,link_correction,"The raw 770265.pdf is C 770609-612 PPM dated May 1, 1978; adjacent 770266.pdf is the C 770265-267 PPR report dated October 26, 1977.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 780250 MFY,C 780250 MFY,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/780250.pdf,vote_date_correction,"The DCP index says October 9, 1980; the printed report header and final resolution both state that CPC adopted C 780250 MFY on October 15, 1980.",certified_ulurp_report,1,10/15/1980,codex_gpt5_source_review,2026-07-11
C 800140 PER,C 800410 PER,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/800140.pdf,identifier_correction,"The raw DCP index says C 800140 PER, but the printed report header and resolution identify C 800410 PER; ZAP also identifies the exchange as C800410PER.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 810281 PPK,C 810281 PPX,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/810281.pdf,action_and_borough_code_correction,"The printed header, resolution, and page footer identify C 810281 PPX for Bronx property; the DCP index incorrectly says PPK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 810555 HDK,C 810555 HPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/810555.pdf,action_code_correction,"The printed header and page footer identify C 810555 HPK, a housing plan and project with related disposition; the DCP index incorrectly says HDK.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821189 PPK,C 821189 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821190 PPK,C 821190 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821191 PPK,C 821191 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821192 PPK,C 821192 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821193 PPK,C 821193 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821194 PPK,C 821194 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821195 PPK,C 821195 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821196 PPK,C 821196 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821198 PPK,C 821198 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821199 PPK,C 821199 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 821200 PPK,C 821200 PPK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/821188.pdf,link_correction,The raw PDF is only the later Board of Estimate resolution; 821188.pdf is the CPC report for C 821188-200 PPK.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 840260 ZMM,C 840260 ZMM,1,,overwritten_source_unavailable,"The DCP index identifies the April 16, 1984 C 840260 ZMM report, but 840260.pdf now contains the January 22, 2020 M 840260(F) LDM modification. Council and DCP records verify the original certified action, but no authentic CPC report PDF was recovered.",certified_ulurp_report,0,,codex_gpt5_source_review,2026-07-11
C 840560 ZRM,N 840560 ZRY,0,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/840560.pdf,non_ulurp_prefix_and_action_correction,"The printed report header is N 840560 ZRY and the matter is a Charter Section 201 zoning text amendment, not a certified Section 197-c application.",excluded_non_ulurp_action,1,,codex_gpt5_source_review,2026-07-11
C 840786 ZSX,C 840786 ZSK,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/840786.pdf,borough_code_correction,The printed report header and ZAP record identify C 840786 ZSK; the DCP search index incorrectly assigns the Bronx suffix X.,certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
C 840866 HDX,C 840866 HAX,1,https://www1.nyc.gov/assets/planning/download/pdf/about/cpc/840866.pdf,action_code_correction,"The printed header, resolution, and footer identify C 840866 HAX, an Urban Development Action Area designation and disposition; the DCP index incorrectly says HDX.",certified_ulurp_report,1,,codex_gpt5_source_review,2026-07-11
