project_id,manual_review_status,manual_rezoning_class,housing_intent,scope_type,capacity_direction,manual_confidence,source_url,source_note,manual_notes
P2007M0351,chatgpt_suggested_text_only,nonresidential_institutional_or_civic,unclear,area_wide,up,medium,,,"Columbia University special district/campus rezoning; text contains R8A/C6-2 capacity increases but no explicit dwelling-unit or housing-supply purpose."
P2012K0184,chatgpt_suggested_text_only,commercial_or_parking,no,area_wide,down,medium,,,"C3 to C8-1 with city-owned property disposition, zoning lot subdivision, walkway/visual-corridor waivers, and street demapping; text does not indicate residential intent and named Kristal Auto/Toys R Us suggests commercial/auto-oriented use."
P2003Q0114,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site_or_area_wide,up,high,,,"Text explicitly says R3-2 to R6A to permit construction of a 7-story residential building."
P1994K0090,chatgpt_suggested_text_only,infrastructure_or_resilience,no,single_site_or_area_wide,down,high,,,"Text explicitly says rezoning to construct a 30 million gallon underground CSO retention facility and support structures."
P2003X0279,chatgpt_suggested_text_only,commercial_or_parking,no,single_site_or_area_wide,up,high,,,"Text explicitly says rezoning for public parking in excess of 150 spaces; residential capacity change is not the project intent."
2018K0367,chatgpt_suggested_text_only,infrastructure_or_resilience,unclear,area_wide,down,high,,,"Resilient Neighborhoods Gerritsen Beach; text says Special Coastal Risk District to promote flood-resilient construction and limit density in vulnerable coastal area."
2024M0158,chatgpt_suggested_text_only,nonresidential_institutional_or_civic,unclear,single_site_or_area_wide,up,high,,,"SPARC Kips Bay life sciences campus with laboratory special permit, H+H and OCME facilities, city-owned property disposition; MIH is mapped but text's primary purpose is institutional/life sciences."
P2009X0279,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,unknown,up,low,,,"Text only states R6 to R7X zoning map amendment; project name says residential development but no dwelling units or clear project purpose in brief."
P1997M0055,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,single_site_or_area_wide,up,low,,,"Text only says block rezoning from M1-5/M1-6 to C4-7; no explicit residential, commercial, or civic development program."
P2002Q0062,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,area_wide_or_corridor,up,low,,,"Text only says rezone 275260 sq ft on west side of Vernon Blvd from R5 to R7-1; no explicit housing project or preservation purpose."
P1988M0685,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,unknown,up,low,,,"Text only says M1-5 to C6-2M; insufficient project-purpose information."
P1984K0325,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site_or_area_wide,up,high,,,"Text explicitly says C6-4 for residential conversion and use of additional bulk to develop and use a multi-building complex."
P2012M0635,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"Text explicitly says C4-7 with Inclusionary Housing to facilitate a tower with approximately 1000 residential units."
P2012X0046,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"Text explicitly says M1-1 to R7A/C2-4 with MIH to facilitate a 9-story building with approximately 228 dwelling units."
P2008Q0162,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,unknown,up,low,,,"Text only says rezone from M1-1 to R3-2; no explicit housing project or other intent."
P1988M0441,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site_or_area_wide,up,high,,,"Text explicitly says rezoning to R10/R8 districts to develop approximately 1200 dwelling units; parsed changes from M1 districts to R10/R8 are all positive residential-capacity changes."
2019K0038,chatgpt_suggested_text_only,residential_intent_upzoning,yes,area_wide,up,high,,,"Text explicitly says R5 to R7-2/C2-4 with special permits/text amendments to facilitate 1.7 million sf development including 1.5 million sf residential and 2050 dwelling units."
P2012X0215,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site_or_area_wide,up,high,,,"Text explicitly says NYCHA rezoning from R5 to R6 to facilitate residential construction of 238 units with community facility space."
P2006K0274,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"Text explicitly says rezoning from M1-1 to C4-2 to permit construction of a mixed commercial and residential building."
P1989M0897,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,single_site_or_area_wide,up,low,,,"Text says multi-use buildings in harmony with Javits Convention Center; no explicit residential program and project name references hotel."
2022K0423,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"Explicit R6A to R8A/R8A-C2-4 rezoning with MIH and parking special permit to facilitate 14-story mixed-use project with 475 dwelling units including 152 MIH units."
P2018Q0025,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,yes,area_wide,up,high,,,"R2 to R2X facilitates development/enlargement of single-family homes but text explicitly says no additional dwelling units are proposed or anticipated."
2018Q0491,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"Explicit M1-1 to R7-3/C2-4 rezoning with MIH to facilitate 987,000 sf mixed-use development with 1,400 units and open space."
P2012Q0324,chatgpt_suggested_text_only,commercial_or_parking,no,single_site_or_area_wide,up,medium,,,"R3-2 and R3-2/C2-2 to C4-1 to provide flexibility for future land uses in an existing shopping mall; no residential program stated."
P1987R0165,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,single_site,up,low,,,"M3-1 to R5/R6 to construct two buildings; residential districts imply possible residential capacity but brief does not state dwelling units or project use."
P1993Q0017,chatgpt_suggested_text_only,nonresidential_institutional_or_civic,no,single_site,up,high,,,"R4 to R6 rezoning to build ambulatory care, emergency unit, and additional parking for 400 cars; medical/civic use rather than housing."
P2006Q0243,chatgpt_suggested_text_only,nonresidential_institutional_or_civic,unclear,single_site,up,medium,,,"NY Hospital Queens expansion with R4 to R6 zoning change; brief lacks program details but project name indicates hospital expansion rather than housing."
P1981M0387,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"M1-5 to C6-4 to permit construction of a 40-story residential tower with 62 units."
P2003X0184,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,single_site_or_area_wide,up,low,,,"M1-1 to C4-4 block rezoning; brief provides no development program or use."
P2007M0242,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,area_wide_or_corridor,up,low,,,"M1-5 to R8/C2-5 and R8; brief gives zoning geography but no project purpose or dwelling-unit program."
P2008K0260,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,single_site_or_area_wide,up,low,,,"M3-1 to R7-3/C2-4 zoning map amendment; project text lacks explicit housing program despite residential-capacity increase."
P1984M0887,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"M1-4 to R10 to build a 52-story mixed-use building with 441 residential units."
P1998K0317,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,single_site_or_area_wide,up,medium,,,"M1-2 to M1-2/R8 Special Mixed Use District; residential capacity is implied by MX/R8 but no explicit dwelling units or housing project stated."
2019X0252,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"M1-1 to R7D/R7D-C2-4 with affordable-housing text amendments to facilitate 150-unit mixed-use building."
2020K0153,chatgpt_suggested_text_only,residential_intent_upzoning,yes,single_site,up,high,,,"C6-1 to C6-4/C6-6 in Special Downtown Brooklyn District to facilitate 23-story mixed-use development including 120 residential units."
2019M0430,chatgpt_suggested_text_only,nonresidential_institutional_or_civic,no,single_site,up,high,,,"New York Blood Center life sciences hub; map amendment and MIH are included but stated project intent is life sciences/commercial institutional expansion."
P2005X0013,chatgpt_suggested_text_only,formal_residential_capacity_change_unclear_intent,unclear,unknown,up,low,,,"M1-1 to R7-2 rezoning only; no development program or dwelling units stated."
