seed_id,vote_year,vote_date,project_name,borough,affected_council_districts,local_members,lu_numbers,resolution_numbers,ulurp_numbers,charter_ulurp_number,source_case_name,charter_category,use_category,residential_mixed_flag,applicant_type,action_code_families,udaap_flag,council_disposition,overrule_status,evidence_tier,evidence_summary,vote_margin,candidate_generation_reason,non_confirmed_reason,source_urls
ny_blood_center_2021,2021,2021-11-23,New York Blood Center,Manhattan,5,Ben Kallos,,,"C210351ZMM; N210352ZRM; C210353ZSM",210351ZMM,New York Blood Center,Commercial,commercial,FALSE,private,"zoning_map_amendment; zoning_text_amendment; special_permit",FALSE,approved,confirmed,charter_staff_table_pending_official_vote_parse,"Listed in the 2025 Charter land-use history table as a post-2000 member-deference overrule; local-member opposition and Council approval require final official vote extraction.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
police_academy_2009,2009,,New York Police Academy,Queens,,,"","",C090403PSQ,090403PSQ,New York Police Academy,City Project,city_project,FALSE,public_city,site_selection,FALSE,approved,confirmed,charter_staff_table_pending_official_vote_parse,"Listed in the 2025 Charter land-use history table as a post-2000 member-deference overrule; Council source pull still needs local-member and vote-margin extraction.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
dock_street_2009,2009,2009-06-10,Dock Street DUMBO,Brooklyn,33,David Yassky,"1073; 1074; 1075",2020,"C090181ZSK; C090183ZSK; C090184ZSK",090184ZSK,Dock Street Development,Residential / Mixed-use,residential_mixed,TRUE,private,special_permit,FALSE,approved,confirmed,official_transcript_local_member_no_vote,"Official stated-meeting transcript records local Council Member David Yassky speaking against the four related Land Use items and voting no on LU 1073-1075; Council approved the bundle 39-9-0.",39-9-0,"charter_report_seed; official_transcript_local_member_no_vote",,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf; https://legistar.council.nyc.gov/View.ashx?GUID=19A028CF-B9A2-4CCC-9B63-47AAF2597D21&ID=683557&M=F"
broadway_triangle_2009,2009,2009-12-21,Broadway Triangle Rezoning,Brooklyn,34,Diana Reyna,"1227; 1228; 1229; 1230","2319; 2320; 2321; 2322","C090413ZMK; N090414ZRK; C090415HUK; C090416HAK",090415HUK,Broadway Triangle Rezoning,Residential / Mixed-use,residential_mixed,TRUE,public_hpd,"zoning_map_amendment; zoning_text_amendment; urban_renewal_plan; urban_development_action_area",TRUE,approved,confirmed,official_split_vote_charter_seed,"Official minutes record Council approval of LU 1227-1230 and Res 2319-2322 by a 36-10-4 vote; the 2025 Charter report identifies the bundle as a member-deference overrule.",36-10-4,"charter_report_seed; official_split_vote",,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf; https://legistar.council.nyc.gov/View.ashx?GUID=1C0E3032-F3EE-416E-831C-685F2FC9FF3B&ID=91969&M=M"
college_point_2009,2009,,College Point Corporate Park,Queens,,,"","",C090470PPQ,090470PPQ,College Point Corporate Park,Commercial,commercial,FALSE,public_city,public_land_disposition,FALSE,approved,confirmed,charter_staff_table_pending_official_vote_parse,"Listed in the 2025 Charter land-use history table as a post-2000 member-deference overrule; Council source pull still needs local-member and vote-margin extraction.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
jamaica_rezoning_2007,2007,,Jamaica Rezoning,Queens,,,"","","C070314AZMQ; N070315AZRQ",070315(A)ZRQ,Jamaica Rezoning,Residential / Mixed-use,residential_mixed,TRUE,public_city,"zoning_map_amendment; zoning_text_amendment",FALSE,approved,confirmed,charter_staff_table_pending_official_vote_parse,"Listed in the 2025 Charter land-use history table as a residential/mixed-use member-deference overrule. Council/DCP project text should override current ZAP-only housing classification when ZAP housing flags miss it.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
maspeth_high_school_2007,2007,,Maspeth High School,Queens,,,"","",20095400SCQ,20095400SCQ,Maspeth High School,City Project,city_project,FALSE,public_city,site_selection,FALSE,approved,confirmed,charter_staff_table_no_zap_match_expected,"Listed in the 2025 Charter land-use history table as a post-2000 member-deference overrule. The SCQ site-selection identifier is not expected to match the current ZAP project table by standard ULURP number.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
watchtower_2004,2004,,Watchtower Development,Brooklyn,33,David Yassky,"","","C040215ZMK; C040216ZSK; C040217ZSK",040217ZSK,Watchtower Development,Residential / Mixed-use,residential_mixed,TRUE,private,"zoning_map_amendment; special_permit",FALSE,approved,confirmed,charter_staff_table_pending_official_vote_parse,"Listed in the 2025 Charter land-use history table as a residential/mixed-use member-deference overrule. Council/DCP project text should override current ZAP-only housing classification when ZAP housing flags miss it.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
harlem_park_hotel_2004,2004,,Harlem Park Hotel,Manhattan,,,"","","C040443ZMM; C040444ZSM; C040445ZSM",040445ZSM,Harlem Park Hotel,Commercial,commercial,FALSE,private,"zoning_map_amendment; special_permit",FALSE,approved,confirmed,charter_staff_table_pending_official_vote_parse,"Listed in the 2025 Charter land-use history table as a post-2000 member-deference overrule; Council source pull still needs local-member and vote-margin extraction.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
nycem_headquarters_2003,2003,,NYCEM Headquarters,Brooklyn,,,"","",C030158PSK,030158PSK,NYCEM Headquarters,City Project,city_project,FALSE,public_city,site_selection,FALSE,approved,confirmed,charter_staff_table_pending_official_vote_parse,"Listed in the 2025 Charter land-use history table as a post-2000 member-deference overrule; Council source pull still needs local-member and vote-margin extraction.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
manhattan_parking_garage_2002,2002,,Special Permit for a Manhattan Parking Garage,Manhattan,,,"","",C010602ZSM,010602ZSM,Special Permit for a Manhattan Parking Garage (Upper West Side),Other,other,FALSE,private,special_permit,FALSE,approved,confirmed,charter_staff_table_pending_official_vote_parse,"Listed in the 2025 Charter land-use history table as a post-2000 member-deference overrule; Council source pull still needs local-member and vote-margin extraction.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
laguardia_hotel_2001,2001,,Hotel near La Guardia Airport,Queens,,,"","","C820994MMQ; C820995ZMQ; M820995",M820995,Hotel near La Guardia Airport,Commercial,commercial,FALSE,private,"modification; zoning_map_amendment",FALSE,approved,confirmed,charter_staff_table_historical_zap_cert_year_mismatch,"Listed in the 2025 Charter land-use history table as a 2001 member-deference overrule. ZAP identifies the underlying Hilton Hotel project with 1982 application numbers, so Council vote year and ZAP certification year should remain distinct.",,charter_report_seed,,"https://www.nyc.gov/assets/charter/downloads/pdf/2025/A-History-of-Land-Use-and-the-NYC-Charter.pdf"
