batch,matter_file,likely_location,likely_current_or_historical_council_district,confidence_high_medium_low,official_source_to_check_or_source_url,reasoning_notes,source_links_found_in_cell
1,Res 0124-1998,"1988–1990 Second Avenue, East Harlem, Manhattan; Block 1674, Lots 3–4",Current CD8; likely historical CD8,high,DCP CPC calendar for C 970776 PPM; NYC Council district finder/map for final verification. S Media+2StreetEasy+2,"The CPC calendar and title identify the same ULURP, address, block, and lots. Property records place both 1988 and 1990 Second Avenue in East Harlem and list City Council District 8. S Media+2StreetEasy+2",https://s-media.nyc.gov/agencies/dcp/assets/files/pdf/about/commission/public-meetings/1997-11-19cal.pdf?utm_source=chatgpt.com
1,Res 0164-1998,"399 West 12th Street / 489 West Street, West Village, Manhattan",Current CD3; likely historical CD3,medium,NYC Council Legistar/DoT revocable-consent file 360097 TCM; NYC Council district finder/map for final verification. PropertyShark+1,"The address is defensibly located at 399 West 12th Street, also associated with 489 West Street, in Manhattan Community District 2. Current Council District 3 official geography includes Greenwich Village / West Side neighborhoods, but I did not find an official matter-specific source tying 360097 TCM to a Council district. PropertyShark+1",https://www.propertyshark.com/mason/Property/9574/489-West-St-New-York-NY-10014/?utm_source=chatgpt.com
1,Res 0512-1998,"520 Broome Street, northwest corner of Thompson Street, SoHo, Manhattan; Block 489, Lot 42","Likely current CD1; likely historical CD1, verify because near SoHo/CD3 boundary",medium,DCP CPC calendar for C 980036 ZSM; NYC Council district finder/map for final verification. S Media+2CityRealty+2,"DCP identifies ULURP C 980036 ZSM as Block 489, Lot 42 at 520 Broome Street. A property source places 520 Broome at the northwest corner of Thompson Street in SoHo. Current District 1’s official page includes SoHo, but because SoHo/West SoHo district boundaries can be close, this should be map-verified. S Media+2CityRealty+2",https://s-media.nyc.gov/agencies/dcp/assets/files/pdf/about/commission/public-meetings/1998-08-05cal.pdf?utm_source=chatgpt.com
1,Res 0892-1999,"1602 Second Avenue / 303 East 83rd Street, Yorkville, Upper East Side, Manhattan",Current CD5; likely historical CD5,high,DoT/Legistar revocable-consent file 19995036 TCM; NYC Council district finder/map for final verification. CityRealty+1,"The address is identified as 1602 Second Avenue / 303 East 83rd Street in Yorkville. Current Council District 5 includes Yorkville and the Upper East Side, so CD5 is the defensible assignment. CityRealty+1",https://www.cityrealty.com/nyc/yorkville/303-east-83rd-street/4141?utm_source=chatgpt.com
1,Res 1220-2000,"173–209 South Portland Avenue and 172–208/214 South Oxford Street, Fort Greene / Atlantic Terminal Phase III area, Brooklyn; Block 2004",Current CD35; likely historical CD35,high,NYC Council Legistar Res 1220-2000; NYC Council district finder/map for final verification. StreetEasy+3Legistar NYC Council+3Legistar NYC Council+3,Legistar gives the same UDAAP addresses and block/lots; Council agenda context refers to Atlantic Terminal Phase III. Property sources for South Portland and South Oxford addresses place the block in Fort Greene and list City Council District 35. StreetEasy+3Legistar NYC Council+3Legistar NYC Council+3,https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=22638FED-A9D9-44CD-9AC5-F3E979200AAE&ID=433957&Options=&Search=&utm_source=chatgpt.com
2,Res 1615-2000,"Richmond Terrace / John Street / Nicholas Avenue vicinity, North Shore Staten Island, Community District 1",Historical CD49; likely current CD49,high,NYC Council LU 0794-2000; DCP CPC Calendar for C 990127 ZMR. Legistar NYC Council+1,"Council LU record identifies ULURP 990127 ZMR as Staten Island Council District 49. DCP calendar locates the zoning-map application around Richmond Terrace, John Street, Nicholas Avenue, and the Staten Island Railroad right-of-way.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=105B52D0-ECE1-405F-9985-54255A7E3B1D&ID=434617&Options=&Search=&utm_source=chatgpt.com
2,Res 1667-2000,"72 Poplar Street, Brooklyn Heights Historic District, Brooklyn; Block 211/Lot 15",Historical/current CD33,high,NYC Council Res 1667-2000; later Council LU 0453-2003 for same property confirms CD33. Legistar NYC Council+1,Same address and BBL appear in Council record. A later Council land-use record for 72 Poplar Street explicitly lists Council District 33.,https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=CEB456AD-1FBE-47EB-89FB-4CB7E686CFA0&ID=435270&Options=&Search=&utm_source=chatgpt.com
2,Res 0481-2002,"41-02 Broadway, Astoria, Queens, Community District 1",Likely historical/current CD22,medium,NYC Council Res 0481-2002 / LU 236; verify with DOT revocable-consent file 20025407 TCQ or Council district map. Legistar NYC Council+1,"Council record gives 41-02 Broadway, Queens Community District 1. Current Council District 22 includes central/east Astoria; 41-02 Broadway is an Astoria address. I did not find a matter-specific official record listing the council district, so keep medium confidence.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=EE316E4D-E3E5-4D0D-AF61-1FB85C534238&ID=449949&Options=&Search=&utm_source=chatgpt.com
2,Res 0487-2002,"Charleston, Staten Island; Block 7487, part of Lot 100; proposed NYCT bus maintenance facility",Historical/current CD51,high,NYC Council LU 0262-2002 and Res 0487-2002. Legistar NYC Council+1,"Council LU record explicitly identifies Block 7487/p.o. Lot 100 as Council District 51. Res 0487 confirms Charleston, Staten Island and the bus-maintenance-facility disposition.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=443B009C-C163-41E3-B466-23E0A49A4CDC&ID=449947&Options=&Search=&utm_source=chatgpt.com
2,Res 0934-2003,"Anchor-West 116th Street Phase III, Central Harlem; 31/35, 59, 61, 63, 65 W. 115th Street and 24–48 W. 116th Street; Block 1599, Lots 13–15, 17, 18, 47–53, 56, 58, 59",Historical/current CD9,high,NYC Council LU 0361-2003; DCP CPC calendars for C 030245 HAM. Legistar NYC Council+1,"Council LU record identifies C 030245 HAM as located on West 115th and West 116th Streets in Council District 9. DCP calendar provides the specific addresses, block/lots, Community District 10, and project name Anchor-West 116th Street Phase III.",https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=E82D7417-BD34-469D-8C14-E6AA3A488512&ID=439086&Options=&Search=&utm_source=chatgpt.com
