query_year,matter_id,matter_file,disposition_group,review_difficulty,application_keys,title_bbls,title_address_candidate,title,chatgpt_plain_text_prompt
1998,449747,Res 0124-1998,disapproved,medium_historical_bbl_review,970776PPM,1016740003; 1016740004,,"Resolution disapproving the decision of the City Planning Commission on ULURP No. C 970776 PPM, for the disposition of two (2) city-owned properties located 1988 and 1990 Second Avenue (Block 1674/Lots 3 and 4), Manhattan (L.U. No. 65).","Matter: Res 0124-1998 (1998)
Disposition: disapproved / Disapproved by Council
Application keys: 970776PPM
Parsed title BBLs: 1016740003; 1016740004
Parsed title address: none parsed
Full title: Resolution disapproving the decision of the City Planning Commission on ULURP No. C 970776 PPM, for the disposition of two (2) city-owned properties located 1988 and 1990 Second Avenue (Block 1674/Lots 3 and 4), Manhattan (L.U. No. 65).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
1998,432037,Res 0512-1998,filed_withdrawal_or_motion,medium_historical_bbl_review,980036ZSM,1004890042,,"Resolution approving a motion to file pursuant to withdrawal on the decision of the City Planning Commission on ULURP No. C 980036 ZSM, for a special permit to allow an attended 5-story public parking garage (Block 489/Lot 42), Manhattan (L.U. No. 245).","Matter: Res 0512-1998 (1998)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 980036ZSM
Parsed title BBLs: 1004890042
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal on the decision of the City Planning Commission on ULURP No. C 980036 ZSM, for a special permit to allow an attended 5-story public parking garage (Block 489/Lot 42), Manhattan (L.U. No. 245).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
1999,433103,Res 0892-1999,filed_withdrawal_or_motion,medium_address_or_range_review,19995036TCM,,1602 Second Avenue,"Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an enclosed sidewalk cafe located at 1602 Second Avenue, Manhattan (19995036 TCM; L.U. No. 461).","Matter: Res 0892-1999 (1999)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 19995036TCM
Parsed title BBLs: none parsed
Parsed title address: 1602 Second Avenue
Full title: Resolution approving the motion to file pursuant to withdrawal of the petition for a revocable consent for an enclosed sidewalk cafe located at 1602 Second Avenue, Manhattan (19995036 TCM; L.U. No. 461).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2000,433957,Res 1220-2000,filed_withdrawal_or_motion,medium_historical_bbl_review,19995075HAK,3020040015; 3020040016; 3020040017; 3020040065; 3020040066; 3020040067; 3020040068; 3020040069; 3020040070; 3020040071; 3020040072; 3020040073; 3020040074; 3020040075; 3020040076; 3020040077; 3020040001; 3020040002; 3020040007; 3020040012; 3020040013; 3020040078; 3020040079; 3020040175,,"Resolution approving a motion to file pursuant to withdrawal an Urban Development Action Area Project located at located at 173-209 South Portland Avenue and 172-208, 214 South Oxford Street (Block 2004/Lots p/o 1, p/o 2, 7, 12, 13, 15-17, 65-77, p/o 78, p/o 79 and 175), Brooklyn (L.U. No. 277; 19995075 HAK).","Matter: Res 1220-2000 (2000)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 19995075HAK
Parsed title BBLs: 3020040015; 3020040016; 3020040017; 3020040065; 3020040066; 3020040067; 3020040068; 3020040069; 3020040070; 3020040071; 3020040072; 3020040073; 3020040074; 3020040075; 3020040076; 3020040077; 3020040001; 3020040002; 3020040007; 3020040012; 3020040013; 3020040078; 3020040079; 3020040175
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal an Urban Development Action Area Project located at located at 173-209 South Portland Avenue and 172-208, 214 South Oxford Street (Block 2004/Lots p/o 1, p/o 2, 7, 12, 13, 15-17, 65-77, p/o 78, p/o 79 and 175), Brooklyn (L.U. No. 277; 19995075 HAK).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2000,435104,Res 1615-2000,filed_withdrawal_or_motion,document_lookup_review,990127ZMR,,,"Resolution approving a motion to file pursuant to withdrawal on an application submitted by Natalie Lyn, LLC, for a Zoning Map change (ULURP No. C 990127 ZMR; L.U. No. 794).","Matter: Res 1615-2000 (2000)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 990127ZMR
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal on an application submitted by Natalie Lyn, LLC, for a Zoning Map change (ULURP No. C 990127 ZMR; L.U. No. 794).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2000,435270,Res 1667-2000,filed_withdrawal_or_motion,medium_address_or_range_review,000577PPK,3002110015,72 Poplar Street,"Resolution approving the motion to file pursuant to withdrawal of ULURP No. C 000577 PPK, the disposition of one (1) city-owned property located at 72 Poplar Street (Block 211/Lot 15), Brooklyn (L.U. No. 929).","Matter: Res 1667-2000 (2000)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 000577PPK
Parsed title BBLs: 3002110015
Parsed title address: 72 Poplar Street
Full title: Resolution approving the motion to file pursuant to withdrawal of ULURP No. C 000577 PPK, the disposition of one (1) city-owned property located at 72 Poplar Street (Block 211/Lot 15), Brooklyn (L.U. No. 929).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2002,449949,Res 0481-2002,disapproved,medium_address_or_range_review,20025407TCQ,,41-02 Broadway,"Resolution disapproving the petition for a revocable consent for an unenclosed sidewalk café located at 41-02 Broadway, Queens (20025407 TCQ; L.U. No. 236).","Matter: Res 0481-2002 (2002)
Disposition: disapproved / Disapproved by Council
Application keys: 20025407TCQ
Parsed title BBLs: none parsed
Parsed title address: 41-02 Broadway
Full title: Resolution disapproving the petition for a revocable consent for an unenclosed sidewalk café located at 41-02 Broadway, Queens (20025407 TCQ; L.U. No. 236).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2002,449950,Res 0487-2002,disapproved,low_information_manual_review,,,,"Resolution disapproving the disposition of city-owned property located at Block 7487, part of Lot 100 in Charleston, Staten Island to the Metropolitan Transportation Authority/New York City Transit for use as a bus maintenance facility (L.U. 262).","Matter: Res 0487-2002 (2002)
Disposition: disapproved / Disapproved by Council
Application keys: none parsed
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution disapproving the disposition of city-owned property located at Block 7487, part of Lot 100 in Charleston, Staten Island to the Metropolitan Transportation Authority/New York City Transit for use as a bus maintenance facility (L.U. 262).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2003,440018,Res 0934-2003,filed_withdrawal_or_motion,document_lookup_review,030245HAM,,,"Resolution approving a motion to file pursuant to withdrawal of an application submitted by the Department of Housing Preservation and Development, ULURP No. C 030245 HAM (L.U. No. 361).","Matter: Res 0934-2003 (2003)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 030245HAM
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving a motion to file pursuant to withdrawal of an application submitted by the Department of Housing Preservation and Development, ULURP No. C 030245 HAM (L.U. No. 361).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
2004,442585,Res 0484-2004,filed_withdrawal_or_motion,document_lookup_review,040203HAK,,,"Resolution approving the motion to file pursuant to withdrawal an application submitted by the Department of Housing Preservation and Development, ULURP No. C 040203 HAK (L.U. No. 91; C 040203 HAK).","Matter: Res 0484-2004 (2004)
Disposition: filed_withdrawal_or_motion / Filed by Council
Application keys: 040203HAK
Parsed title BBLs: none parsed
Parsed title address: none parsed
Full title: Resolution approving the motion to file pursuant to withdrawal an application submitted by the Department of Housing Preservation and Development, ULURP No. C 040203 HAK (L.U. No. 91; C 040203 HAK).
Task: Identify the affected NYC location and likely Council district. Prefer official CPC, ULURP, Legistar, HPD, LPC, or city records. Do not guess if the title is ambiguous."
